id	name	category	pricePerDay	pricePerWeek	description	image	available	featured
cam001	ARRI Alexa Mini LF Camera Body	cameras	500000	2500000	Flagship large-format digital cinema camera renowned for its superior image quality, dynamic range, and reliability in professional film productions.	/gear/cam001.jpg	TRUE	TRUE
cam002	Sony FX9 Full-Frame Cinema Camera	cameras	300000	1500000	Professional 6K full-frame camera designed for broadcast and cinematic applications with electronic variable ND filter.	/gear/cam002.jpg	TRUE	FALSE
cam003	Blackmagic URSA Broadcast G2	cameras	200000	1000000	Versatile studio and field camera with 6G-SDI and 12G-SDI connectivity for live production and ENG.	/gear/cam003.jpg	FALSE	TRUE
lens001	Zeiss Supreme Prime 50mm T1.5	lenses	100000	500000	High-end cine prime lens delivering exceptional sharpness, minimal distortion, and beautiful bokeh for large-format sensors.	/gear/lens001.jpg	TRUE	TRUE
lens002	Canon CN-E 24-70mm T2.8 L F	lenses	80000	400000	Servo zoom cine lens with consistent T2.8 aperture, ideal for broadcast and documentary work.	/gear/lens002.jpg	TRUE	FALSE
light001	ARRI SkyPanel S60-C LED Softlight	lighting	150000	750000	Versatile RGBW LED panel for precise color control and soft illumination in studio and location shoots.	/gear/light001.jpg	TRUE	TRUE
light002	Aputure Nova P300c RGBWW LED	lighting	120000	600000	Powerful panel light with full color gamut for creative lighting designs in film and events.	/gear/light002.png	TRUE	FALSE
audio001	Sennheiser MKH 50 Supercardioid Mic	audio	40000	200000	Compact shotgun microphone with pristine sound capture for dialogue in challenging acoustic environments.	/gear/audio001.webp	TRUE	TRUE
audio002	Zoom F8n Multi-Track Recorder	audio	60000	300000	8-input field recorder with 32-bit float recording for professional audio post-production.	/gear/audio002.png	TRUE	FALSE
motion001	DJI Ronin 2 Pro Gimbal Stabilizer	motion	100000	500000	Professional 3-axis gimbal for heavy cinema rigs, enabling smooth tracking shots.	/gear/motion001.jpg	TRUE	TRUE
motion002	DJI Matrice 300 RTK Drone	motion	400000	2000000	Enterprise drone platform with advanced obstacle avoidance for aerial cinematography.	/gear/motion002.png	TRUE	FALSE
grip001	Manfrotto 504X Fluid Head Tripod	grip	50000	250000	Professional video tripod with fluid drag system for precise pan and tilt control.	/gear/grip001.jpg	TRUE	TRUE
grip002	Matthews Century C+ Stand Kit	grip	20000	100000	Versatile century stand for mounting lights, flags, and accessories on set.	/gear/grip002.jpg	TRUE	FALSE
acc001	SmallHD Indie 7 Monitor	accessories	70000	350000	Bright 7-inch HDR monitor with touchscreen interface for on-set monitoring.	/gear/acc001.jpg	TRUE	TRUE
acc002	Teradek Bolt 4K Wireless Video	accessories	90000	450000	Zero-delay wireless transmission system for 4K video up to 1500ft range.	/gear/acc002.jpg	TRUE	FALSE
power001	Anton Bauer Titon 240 V-Mount Battery	power	30000	150000	High-capacity V-mount battery for powering cameras and lights on extended shoots.	/gear/power001.jpg	TRUE	TRUE
power002	SanDisk 1TB Extreme PRO CFexpress Card	power	20000	100000	High-speed media card for 8K RAW recording in demanding cinema workflows.	/gear/power002.jpg	TRUE	FALSE
